parameter cap(i_j_t_s)
1.3.1.5 10.000000
10.10.33.80 99999.000000
11.15.14.20 10.000000
11.15.47.53 10.000000
13.13.63.80 99999.000000
15.19.20.23 10.000000
15.19.53.56 10.000000
16.10.29.33 10.000000
17.16.27.29 10.000000
17.26.25.26 99999.000000
18.20.46.50 10.000000
18.28.38.39 99999.000000
19.17.23.25 10.000000
19.20.66.70 10.000000
19.30.56.57 99999.000000
20.20.70.80 99999.000000
20.21.50.56 10.000000
21.24.56.59 10.000000
24.13.59.63 10.000000
25.3.6.7 99999.000000
26.17.26.27 99999.000000
27.27.6.20 99999.000000
27.3.20.21 99999.000000
28.18.45.46 99999.000000
28.28.39.45 99999.000000
29.29.10.40 99999.000000
29.4.40.41 99999.000000
3.11.7.14 10.000000
3.25.5.6 99999.000000
3.27.5.6 99999.000000
3.4.21.25 10.000000
3.4.5.9 10.000000
30.19.65.66 99999.000000
30.30.57.65 99999.000000
4.11.41.47 10.000000
4.29.9.10 99999.000000
4.5.25.27 10.000000
5.6.27.31 10.000000
6.8.31.33 10.000000
7.18.36.38 10.000000
8.7.33.36 10.000000
