parameter beta(v_k_i_j_t_s)
1.1.1.3.1.5 1
1.1.3.27.5.6 1
1.1.27.27.6.20 1
1.1.27.3.20.21 1
1.1.3.4.21.25 1
1.1.4.5.25.27 1
1.1.5.6.27.31 1
1.1.6.8.31.33 1
1.1.8.7.33.36 1
1.1.7.18.36.38 1
1.1.18.28.38.39 1
1.1.28.28.39.45 1
1.1.28.18.45.46 1
1.1.18.20.46.50 1
1.1.20.21.50.56 1
1.1.21.24.56.59 1
1.1.24.13.59.63 1
1.1.13.13.63.80 1
2.1.1.3.1.5 1
2.1.3.4.5.9 1
2.1.4.29.9.10 1
2.1.29.29.10.40 1
2.1.29.4.40.41 1
2.1.4.11.41.47 1
2.1.11.15.47.53 1
2.1.15.19.53.56 1
2.1.19.30.56.57 1
2.1.30.30.57.65 1
2.1.30.19.65.66 1
2.1.19.20.66.70 1
2.1.20.20.70.80 1
3.1.1.3.1.5 1
3.1.3.25.5.6 1
3.1.25.3.6.7 1
3.1.3.11.7.14 1
3.1.11.15.14.20 1
3.1.15.19.20.23 1
3.1.19.17.23.25 1
3.1.17.26.25.26 1
3.1.26.17.26.27 1
3.1.17.16.27.29 1
3.1.16.10.29.33 1
3.1.10.10.33.80 1
