parameter cap(i_j_t_s)
1.3.1.5 10.000000
10.10.55.80 99999.000000
10.16.33.37 10.000000
11.15.28.34 10.000000
13.13.65.80 99999.000000
15.19.34.37 10.000000
16.10.51.55 10.000000
16.17.37.39 10.000000
16.18.43.46 10.000000
17.16.41.43 10.000000
17.26.39.40 99999.000000
18.16.48.51 10.000000
18.20.48.52 10.000000
18.28.46.47 99999.000000
19.17.37.39 10.000000
20.20.52.80 99999.000000
20.21.52.58 10.000000
21.24.58.61 10.000000
24.13.61.65 10.000000
25.3.6.7 99999.000000
26.17.40.41 99999.000000
27.27.8.20 99999.000000
27.3.20.21 99999.000000
28.18.47.48 99999.000000
3.11.21.28 10.000000
3.25.5.6 99999.000000
3.27.7.8 99999.000000
3.4.21.25 10.000000
4.10.25.33 10.000000
