parameter beta(v_k_i_j_t_s)
1.3.1.3.1.5 1
1.3.3.25.5.6 1
1.3.25.3.6.7 1
1.3.3.27.7.8 1
1.3.27.27.8.20 1
1.3.27.3.20.21 1
1.3.3.4.21.25 1
1.3.4.10.25.33 1
1.3.10.16.33.37 1
1.3.16.17.37.39 1
1.3.17.26.39.40 1
1.3.26.17.40.41 1
1.3.17.16.41.43 1
1.3.16.18.43.46 1
1.3.18.28.46.47 1
1.3.28.18.47.48 1
1.3.18.20.48.52 1
1.3.20.21.52.58 1
1.3.21.24.58.61 1
1.3.24.13.61.65 1
1.3.13.13.65.80 1
2.3.1.3.1.5 1
2.3.3.25.5.6 1
2.3.25.3.6.7 1
2.3.3.27.7.8 1
2.3.27.27.8.20 1
2.3.27.3.20.21 1
2.3.3.4.21.25 1
2.3.4.10.25.33 1
2.3.10.16.33.37 1
2.3.16.17.37.39 1
2.3.17.26.39.40 1
2.3.26.17.40.41 1
2.3.17.16.41.43 1
2.3.16.18.43.46 1
2.3.18.28.46.47 1
2.3.28.18.47.48 1
2.3.18.20.48.52 1
2.3.20.20.52.80 1
3.3.1.3.1.5 1
3.3.3.25.5.6 1
3.3.25.3.6.7 1
3.3.3.27.7.8 1
3.3.27.27.8.20 1
3.3.27.3.20.21 1
3.3.3.11.21.28 1
3.3.11.15.28.34 1
3.3.15.19.34.37 1
3.3.19.17.37.39 1
3.3.17.26.39.40 1
3.3.26.17.40.41 1
3.3.17.16.41.43 1
3.3.16.18.43.46 1
3.3.18.28.46.47 1
3.3.28.18.47.48 1
3.3.18.16.48.51 1
3.3.16.10.51.55 1
3.3.10.10.55.80 1
